name,artist,id,danceability,key,mode,instrumentalness,duration,time_signature,energy,loudness,speechiness,acousticness,tempo,liveness,valence,popularity,hollywood
Ishq Kaminaa,DJ Jiten,1YFTLSuSQ0odUosJIVTvOC,0.782,5,0,1.30E-05,326839,4,0.972,-7.542,0.148,0.0255,133.967,0.369,0.557,"0
",0
Bhool Ja,Shaan,7pCE1BHlNVbvIuqUEOGAj5,0.696,0,0,0.000185,214067,4,0.888,-2.285,0.0336,0.0592,120.976,0.131,0.676,"36
",0
Tanha Dil,Shaan,4kO9vFarqUPNwlgFnVNgVh,0.621,7,0,0,291240,4,0.704,-5.293,0.0236,0.101,99.942,0.185,0.366,"44
",0
Sexy Mama,Bombay Rockers,5VG9YmTLrTuhOlhWYDdI8v,0.83,9,0,1.45E-06,216453,4,0.77,-4.135,0.112,0.483,99.99,0.127,0.927,"27
",0
Ari Ari (Part 1),Bombay Rockers,6dWQ9E5mFjQZA7ujh3wd2Z,0.758,7,1,0.000154,93760,4,0.918,-2.487,0.108,0.00085,98.071,0.0619,0.721,"33
",0
Rock Tha Party,Bombay Rockers,0NoNwbg1fnrb3DHCZ8We6q,0.831,8,1,0,212653,4,0.728,-4.625,0.0459,0.0865,109.977,0.113,0.896,"45
",0
Dooba Dooba Rehta Hoon,DJ Taral,1vr7wUhTzxWuiCOEtt7qxs,0.808,0,1,2.50E-05,277525,4,0.818,-6.991,0.0938,0.0283,105.018,0.288,0.625,"7
",0
Ada (Remix),DJ Suketu,25FOlk17vyCoZoEin3HCPu,0.73,0,0,0.00479,224280,4,0.857,-8.441,0.0606,0.0169,115.015,0.175,0.935,"0
",0
Kya Koob Lagti Ho,DJ Suketu,4ANBrIly3md24kB2GKOrqx,0.661,9,0,0.0547,363413,4,0.936,-4.852,0.0479,0.00228,130.031,0.0996,0.241,"24
",0
Baras Ja,DJ Suketu,5yjEiBhyqHDDFvQmEOc398,0.682,1,1,0.725,303507,4,0.838,-7.277,0.0721,0.000655,129.979,0.0583,0.808,"9
",0
Aadat,DJ Suketu,6529TCR5Znq4SUFF1K6Yhu,0.703,0,0,0.0893,247453,4,0.934,-5.684,0.0332,0.0447,120.036,0.0584,0.82,"25
",0
Who Lamhe,DJ Suketu,2Wi9cUPzDJ7luV2COdzAQb,0.62,8,0,0.413,285360,4,0.899,-6.57,0.0376,0.00848,119.997,0.217,0.881,"32
",0
Bin Tere Sanam,DJ Suketu,5WmEz1wvZY9zBlFSjXVBWL,0.727,2,1,0.00874,225880,4,0.966,-5.228,0.0368,0.225,128.986,0.165,0.902,"35
",0
LIYA LIYA CHURA LIYA PART-2 (YAADON KI BARAAT) - RECREATED,ANOUSHA MANCHANDANI,0A4ZbRheBaq9vZwPS8cyZx,0.687,7,1,0.152,347000,4,0.735,-4.922,0.0309,0.00112,127.994,0.0532,0.42,"0
",0
DUM MARO DUM (HARE RAMA HARE KRISHNA) - RECREATED,Anusha Mani,39otBBHIl1cKqpIqihG20c,0.695,2,0,0.00177,331280,4,0.804,-5.692,0.0446,0.0527,124.972,0.0652,0.695,"0
",0
LIYA LIYA - CHURA LIYA PART-1 (YAADON KI BARAAT) - RECREATED,ANOUSHA MANCHANDANI,55sLyn4oUwCRGpwiLwOUyr,0.672,7,1,0.0813,215720,4,0.808,-4.658,0.0323,0.00636,127.976,0.334,0.533,"0
",0
O Sanam,Lucky Ali,3fmaa2vvi8kq1LSX4M2btK,0.761,7,1,0.124,224493,4,0.475,-13.03,0.0455,0.381,98.035,0.101,0.464,"0
",0
Ultimate Bollywood Workout - Vol 1,Shankar Mahadevan,1FIUPudP2bHpn7f48KpHGK,0.696,9,1,0.000412,323933,4,0.869,-3.766,0.0648,0.159,93.025,0.0563,0.777,"0
",0
Ultimate Bollywood Workout - Vol 1,Sonu Nigam,6HvVsxeIhGUP60MMZq3ThH,0.854,9,0,1.49E-06,359253,4,0.746,-8.656,0.115,0.0623,107.981,0.0273,0.862,"0
",0
Ultimate Bollywood Workout - Vol 1,Rehan Khan,3bzWTZ3CV640aZI8l0eHMR,0.758,6,0,0.00516,349907,4,0.905,-5.466,0.0503,0.0831,104.011,0.0994,0.795,"0
",0
Ultimate Bollywood Workout - Vol 1,Neeraj Shridhar,77dvAkaySQAPYHo7dbkGkM,0.829,0,1,0.00853,287813,4,0.942,-4.959,0.0396,0.0914,104.827,0.295,0.927,"0
",0
Ultimate Bollywood Workout - Vol 1,Mika Singh,60c62Sw0KLZKgoLPTs4t6J,0.734,2,1,0.0597,247200,4,0.879,-5.093,0.133,0.0608,104.99,0.0967,0.44,"0
",0
Ultimate Bollywood Workout - Vol 1,Sunidhi Chauhan,4B0SFukDN2ojbuVecdXR9V,0.755,11,0,3.43E-06,295560,4,0.939,-4.969,0.127,0.129,92.006,0.416,0.783,"0
",0
Ultimate Bollywood Workout - Vol 1,Sunidhi Chauhan,6QvMf4xpRflfaQVIKmGQhA,0.778,11,0,0.00474,325680,4,0.951,-4.027,0.0573,0.0713,109.417,0.316,0.61,"0
",0
Ultimate Bollywood Workout - Vol 1,Shankar Mahadevan,4SwYoLdtlNhlewcNa1sYFR,0.652,6,0,0.00168,231013,4,0.97,-3.944,0.0461,0.00775,124.977,0.204,0.883,"0
",0
Ultimate Bollywood Workout - Vol 1,Vishal Dadlani,2msWTU4Vs3FyxKuCixcwmN,0.762,0,1,9.30E-05,281173,4,0.817,-5.804,0.158,0.022,92.01,0.0789,0.849,"0
",0
Ultimate Bollywood Workout - Vol 1,Raja Hasan,417VlUKWcOEmBzq8T4NLEt,0.79,1,1,0.403,253357,4,0.827,-5.706,0.03,0.0853,114.981,0.291,0.588,"0
",0
Break Ke Baad,Vishal-Shekhar,070SyVcOlzRLf47QC1RksM,0.643,4,1,1.43E-06,249879,4,0.86,-5.291,0.062,0.0292,125.059,0.426,0.558,"0
",0
Break Ke Baad,Vishal-Shekhar,2vnf0FVzoIiSrhV5OnjJYR,0.797,0,1,2.46E-06,263182,4,0.544,-7.139,0.0311,0.0902,107.998,0.117,0.63,"0
",0
Anjaana Anjaani,Vishal-Shekhar,2AqJAnChDv6XEV8Z4fHkpV,0.698,0,1,0.447,263160,4,0.517,-6.168,0.0351,0.096,92.017,0.146,0.779,"0
",0
Anjaana Anjaani,Vishal-Shekhar,2FqdO4F5QCgcLnHKclYOGg,0.683,2,1,0.248,286827,4,0.973,-5.24,0.0449,0.0064,137.985,0.0268,0.956,"0
",0
Anjaana Anjaani,Vishal-Shekhar,52IK39N9zzWvhluptrXElD,0.622,9,0,0.000261,249413,4,0.781,-5.393,0.0615,0.0117,103.989,0.0873,0.431,"0
",0
Chammak Challo (International Version),Vishal-Shekhar,25QnrkmVfATGRwPPDTVi4K,0.752,8,1,5.29E-06,227263,4,0.887,-4.01,0.0328,0.0691,133.941,0.119,0.937,"0
",0
Aa Bhi Ja Sanam,Atif Aslam,77K0PZT05HU6sVB9mv1wVF,0.248,9,0,2.52E-05,188238,3,0.692,-5.201,0.0476,0.214,86.605,0.174,0.251,"0
",0
O Mere Khuda,Atif Aslam,7jGlJK8pKCZAlMJGXNIDYc,0.679,4,0,1.52E-06,199706,4,0.913,-5.284,0.0564,0.0306,124.98,0.65,0.692,"0
",0
Bakhuda Tumhi Ho,Atif Aslam,0aviOEUYHCNDLRYrc5AgZU,0.317,2,1,0,292545,4,0.69,-5.029,0.0386,0.673,126.903,0.138,0.507,"0
",0
Tera Hone Laga Hoon,Atif Aslam,4FIaVcEAOlgC94YwwPHznL,0.682,8,1,0,300069,4,0.769,-5.275,0.0306,0.511,119.96,0.111,0.526,"0
",0
Woh Lamhe Woh Baatein (2005),Atif Aslam,0PIKvIb2IzUgYq9OjNX8mG,0.464,8,0,0.000449,320040,4,0.822,-4.827,0.0662,0.135,89.761,0.0898,0.407,"0
",0
Doorie,Atif Aslam,35q9PJHy5tkmAevaWBLkNQ,0.49,9,1,0,292560,4,0.957,-2.999,0.158,0.189,120.058,0.217,0.317,"0
",0
Barso Re,A.R. Rahman,3QKvJjMEFSUMtPrJN6bTSF,0.879,0,1,0.000284,329600,4,0.487,-9.441,0.148,0.337,116.991,0.0706,0.338,"22
",0
Satrangi Re - Dil Se,Sonu Nigam,7kxFLinBsXa4MVtCgIBoqw,0.661,3,0,0.00187,303099,4,0.748,-12.653,0.244,0.162,188.073,0.0789,0.753,"0
",0
Saathiya,Sonu Nigam,6KlVDkd5p3HjESeCTZOPzX,0.579,1,0,0,357080,4,0.515,-12.323,0.0525,0.21,87.947,0.303,0.502,"0
",0
Dil Se Re (from the film 'Dil Se'),A.R. Rahman,7LMh0v7MY3r5sao0vJ7jEO,0.84,9,1,1.77E-05,405293,4,0.473,-15.038,0.0733,0.00955,105.986,0.0897,0.427,"0
",0
Mujhe Rang De,A.R. Rahman,0ICYqPzyR7VC4JgsPxCTZd,0.701,9,0,0.000421,428600,4,0.48,-16.403,0.073,0.309,122.013,0.0986,0.65,"0
",0
Alvida,Pritam,7EjatvVN2Y2GjpvKSyWJR4,0.287,2,1,7.51E-06,338587,4,0.655,-5.566,0.0372,0.594,84.015,0.11,0.239,"45
",0
Rishtey,Pritam,6FfCyhMsZaBcHxYu0Nm3eP,0.542,0,0,1.67E-06,440347,4,0.564,-6.633,0.0275,0.222,135.997,0.114,0.176,"31
",0
In Dino,Pritam,6YycppSAeGtSvwmu8qCcr2,0.406,0,1,0,397027,4,0.633,-6.989,0.0379,0.513,101.436,0.116,0.344,"51
",0
